品类,显示名称,菜谱1,菜谱2,菜谱3
鲫鱼,鲫鱼（约7两左右／条）,红烧鲫鱼,香辣烤鲫鱼,鲫鱼豆腐汤
黄鱼,黄鱼（约）,葱烧黄鱼,清蒸黄鱼,茄汁黄鱼
带鱼,鲫鱼（约7两左右／条）,香煎带鱼,家常烧带鱼,清蒸带鱼
鲳鱼,,黄豆酱蒸鲳鱼,家常红烧鲳鱼,干煎椒盐鲳鱼
青鱼,,酱香山药青鱼,枸杞酒酿蒸咸青鱼,青鱼烧豆腐
黑鱼,,大蒜烧黑鱼,番茄黑鱼汤,麻辣水煮鱼
鲈鱼,鲈鱼 （约1斤左右／条）,清蒸鲈鱼,炭烤鲈鱼,
桂鱼,桂鱼 （约1斤左右／条）,清蒸桂鱼,松鼠桂鱼,
多宝鱼,多宝鱼 （约1斤2两左右／条）,清蒸多宝鱼,红烧多宝鱼,
鳗鱼,,红烧河鳗,清蒸河鳗,
,,,,
,,,,
,,,,
,,,,
蛏子,蛏子（约1斤／份）,蛏子丝瓜汤,盐焗蛏子,美味爆炒蛏子
花蛤,花蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,蛤蜊饭
文蛤,文蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,蛤蜊饭
螺丝,螺丝（约1斤／份）,上汤螺丝,爆炒螺丝,香辣螺丝
,,,,
斑节虾,斑节虾（活）5两起卖,白灼斑节虾,豉油斑节虾,
草虾,草虾（活）5两起卖,柠檬盐烤虾,黑胡椒奶油虾,沙茶干烧虾
明虾,明虾（活）5两起卖,油焖大虾,日式炸大虾,香煎大明虾
基围虾,基围虾（活）5两起卖,蒜蓉粉丝虾,白灼基围虾,口水虾
河虾,有籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾
,无籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾
大头虾,大头虾（活）5两起卖,水煮大头虾,油爆大头虾,
虾姑（皮皮虾）,皮皮虾（活）5两起卖,清蒸皮皮虾,椒盐皮皮虾,辣炒皮皮虾
虾仁,虾仁 5两起卖,芦笋百合烩虾仁,虾仁炒蛋,虾丸
冷冻虾仁,冷冻虾仁（约200g／份）,水晶虾仁,龙井虾仁,
,,,,
梭子蟹,梭子蟹（活）约3两／只,姜葱炒梭子蟹,秘制香辣蟹,梭子蟹粉丝煲
大闸蟹,大闸蟹（活）约6两／份,清蒸大闸蟹,国宴级醉蟹,美味鸡煲蟹
青蟹,青蟹（活）约6两／份,青蟹炒年糕,葱姜炒青蟹,避风塘炒蟹
花蟹,花蟹（活）约5两／份,爆炒花蟹,清蒸花蟹,葱姜炒花蟹
,,,,
鱿鱼,,爆炒鱿鱼圈,卤鱿鱼,双椒炒鱿鱼卷
目鱼仔,,砂锅目鱼仔,爆炒目鱼仔,香辣目鱼仔
,,,,
海带丝,,凉拌海带,清炒海带,蛤蜊海带豆腐汤
海带结,,海带豆腐汤,海带排骨汤,海带玉米汤
