,,,,,,,
昂刺鱼,鲜活昂刺鱼 约1斤／份,红烧昂刺鱼,昂刺鱼豆腐汤,,,,
黄鳝鳝筒,活杀黄鳝鳝筒 2条／份 约8～9两,红烧鳝筒,蒜香鳝筒,,,,
黄鳝鳝丝,活杀黄鳝鳝丝 约8两／份,响油鳝丝,青椒鳝丝,,,,
牛蛙,活杀牛蛙 约8～9两／只,干锅牛蛙,上汤牛蛙,椒盐牛蛙,,,
黑鱼（家）,活杀黑鱼 约1.2～1.5斤／条,黑鱼炖豆腐,红烧黑鱼,酸菜鱼,,,
黑鱼（野）,活杀黑鱼（野生）约1.5～2斤／条,黑鱼炖豆腐,红烧黑鱼,酸菜鱼,,,
散养鸡蛋,奉贤散养鸡蛋 10个／份（约1斤）,水蒸蛋,蛤蜊炖蛋,水煮蛋,,,
鸽子,鸽子 约6两／只,山药鸽子汤,红烧鸽子,烤乳鸽,,,
中盐无碘盐,中盐无碘盐 400g／包,,,,,,
玉棠白砂糖,玉棠白砂糖 500g／包,,,,,,
李锦记生抽,李锦记锦珍生抽 1.75L／瓶,,,,,,
六月鲜酱油,六月鲜鲜酱油 500ml／瓶,,,,,,
海天草菇老抽酱油,海天草菇老抽酱油 1.9L／瓶,,,,,,
鼎丰米醋,鼎丰米醋 500ml／瓶,,,,,,
镇江香醋,镇江香醋 500ml／瓶,,,,,,
太太乐鸡精,太太乐鸡精 454g／包,,,,,,
郫县豆瓣酱,郫县豆瓣酱 500g／瓶,,,,,,
富味娜纯芝麻酱,富味娜纯芝麻酱 250g／瓶,,,,,,
李锦记蒸鱼豉油,李锦记蒸鱼豉油 410ml／瓶,,,,,,
李锦记蚝油,李锦记味蚝鲜蚝油 680g／瓶,,,,,,
香满园芝麻油,香满园芝麻油 400ml／瓶,,,,,,
味好美孜然粉,味好美 孜然粉 28g／瓶,,,,,,
味好美白胡椒粉,味好美 白胡椒粉 30g／瓶,,,,,,
味好美黑胡椒粉,味好美 黑胡椒粉 30g／瓶,,,,,,
味好美椒盐粉,味好美 椒盐粉 52g／瓶,,,,,,
味好美辣椒粉,味好美 辣椒粉 26g／瓶,,,,,,
味好美花椒粉,味好美 花椒粉 24g／瓶,,,,,,
味好美大蒜粉,味好美 大蒜粉 42g／瓶,,,,,,
味好美五香粉,味好美五香粉 28g／瓶,,,,,,
味好美鲜辣味粉,味好美鲜辣味粉 25g／瓶,,,,,,
