品类,显示名称,菜谱1,菜谱2,菜谱3
青菜,小青菜 约7两／份,蒜蓉青菜,香菇青菜,清炒青菜
生菜,新鲜生菜 约7两／份,清炒生菜,蚝油生菜,蒜蓉生菜
鸡毛菜,鸡毛菜 约7两／份,清炒鸡毛菜,上汤鸡毛菜,豆腐皮鸡毛菜
广东菜心,广东菜心 约5两／份,香菇菜心,白灼菜心,蒜蓉菜心
小白菜,小白菜 约2.5斤／颗,小白菜炖豆腐,清炒小白菜,小白菜炒鸡蛋
大白菜,大白菜 约3.5斤／颗,木耳大白菜炒肉,酸辣大白菜,大白菜炖粉条
娃娃菜,娃娃菜 约2.5斤／颗,耗油娃娃菜,蒜蓉粉丝娃娃菜,上汤娃娃菜
油麦菜,油麦菜 约5两／份,麻酱油麦菜,蚝油油麦菜,蒜蓉油麦菜
杭白菜,杭白菜 约5两／份,耗油杭白菜,杭白菜蘑菇面筋,清炒杭白菜
卷心菜,卷心菜 约1.5斤／颗,粉丝卷心菜,手撕包菜,凉拌卷心菜
茼蒿菜,茼蒿菜 约5两／份,凉拌茼蒿菜,茼蒿菜炒肉,清炒茼蒿菜
水芹,水芹 约5两／份,水芹炒香干,清炒水芹,凉拌水芹
菠菜,菠菜 约5两／份,菠菜虾米蛋汤,菠菜鸡蛋饼,麻酱菠菜
豆苗,豆苗 约5两／份,蒜香豆苗,上汤豆苗,凉拌豆苗
草头,草头 约5两／份,酒香草头,草头白米虾,草头圈子
空心菜,空心菜 约5两／份,蒜蓉空心菜,腐乳空心菜,肉末空心菜
苋菜,苋菜 约5两／份,清炒红苋菜,蒜香白苋菜,皮蛋苋菜汤
芹菜,芹菜 约1斤／把,芹菜炒豆干,芹菜炒牛肉,芹菜拌腐竹
西芹,西芹 约1.2斤／颗,罗宋汤,西芹烩百合,凉拌西芹
芥兰,芥兰 2根／份 约1斤左右,白灼芥兰,腊肠炒芥兰,芥兰山药炒木耳
韭黄,韭黄 约5两／份,韭黄春卷,韭黄炒鸡蛋,韭黄炒肉丝
韭菜,韭菜 约5两／份,清炒韭菜,韭菜炒鸡蛋,胡萝卜韭菜肉饼
蒜苔,蒜苔 约1斤／把,蒜苔炒素鸡,蒜苔炒肉,蒜苔炒香干
紫甘蓝,紫甘蓝 约1.5斤／颗,凉拌紫甘蓝,紫甘蓝沙拉,蒜香紫甘蓝
芦笋,芦笋 约5两／份,麻香油泼芦笋,芦笋滑虾,芦笋炒肉丝
竹笋,竹笋 2根／份 约1斤,油焖春笋,鲜笋香菇,竹笋鸡汤
,,,,
西兰花,西兰花 约1斤／颗,炝拌双耳西兰花,上汤西兰花,西兰花香菇炒腊肉
花菜,花菜 约1斤／颗,花菜肉片,烤花菜,
有机花菜,有机花菜 约1.5斤／颗,干锅有机花菜,有机花菜炒木耳,豆豉酱爆有机花菜
,,,,
圆茄,圆茄 约 8两／个,肉末茄条,油焖茄子,凉拌茄子
大茄子,大茄子 约6两／个,肉末长茄条,油焖长茄,凉拌长茄
长茄子,长茄子 2个／份 约 3两,肉末长茄条,油焖长茄,凉拌长茄
青茄,青茄 约4两／个,肉末长茄条,油焖长茄,凉拌长茄
番茄,番茄 约5两／个,番茄炒蛋,番茄浓汤,凉拌西红柿
茭白,茭白 约6两／份,油焖茭白,茭白肉丝,河虾炒茭白
莴笋,莴笋 约8两／个,清炒莴笋丝,葱油莴笋丝,莴笋拌木耳
,,,,
黄瓜,黄瓜 约7两／个,拍黄瓜,黄瓜木耳炒鸡蛋,糖醋酱黄瓜
苦瓜,苦瓜 约7两／个,清炒苦瓜,苦瓜炒鸡蛋,凉拌苦瓜
丝瓜,丝瓜 约5两／个,丝瓜毛豆,丝瓜蛋汤,蒜蓉干贝蒸丝瓜
八棱瓜,八棱瓜 约7两／个,家常清炒八棱瓜,双椒蚝油八棱瓜,八棱瓜烩油条
西葫芦,西葫芦 约5两／个,生拌西葫芦,西葫芦炒虾仁,芝香椒油西葫芦
佛手瓜,佛手瓜 约5两／个,佛手瓜蘑菇炒鸡片,炝拌佛手瓜,佛手瓜鱿鱼干小排汤
夜开花,夜开花 约7两／个,夜开花烧面筋,开洋夜开花粉丝汤,清炒夜开花
绿皮南瓜,绿皮南瓜 约3斤／个,清炒南瓜片,蛋黄焗南瓜,南瓜鸡肉盅
老南瓜,老南瓜 约1斤／份,清炒南瓜片,蛋黄焗南瓜,南瓜鸡肉盅
冬瓜,冬瓜 约1.5斤／份,红烧冬瓜,川味冬瓜烧肉,肉末冬瓜
,,,,
